,Comp,Height,Points,Salary
111,9.0,77.0,41.0,0.0
112,9.0,76.0,36.0,0.0
113,8.0,75.0,36.0,0.0
114,9.0,79.0,55.0,0.0
115,10.0,77.0,63.0,782210.0
116,8.0,77.0,62.0,0.0
117,8.0,76.0,50.0,259365.0
118,7.0,78.0,30.0,0.0
119,8.0,77.0,41.0,0.0
120,8.0,81.0,30.0,0.0
121,8.0,74.0,41.0,0.0
122,8.0,76.0,30.0,0.0
123,8.0,74.0,53.0,0.0
124,8.0,75.0,41.0,0.0
125,9.0,74.0,41.0,0.0
126,8.0,76.0,52.0,0.0
127,9.0,74.0,58.0,0.0
128,9.0,78.0,49.0,0.0
129,9.0,74.0,20.0,0.0
130,9.0,77.0,34.0,0.0
131,10.0,73.0,12.0,0.0
132,8.0,75.0,47.0,0.0
133,8.0,77.0,16.0,0.0
134,9.0,78.0,46.0,0.0
135,8.0,74.0,49.0,0.0
136,9.0,76.0,50.0,407135.0
137,8.0,75.0,48.0,0.0
138,7.0,76.0,37.0,0.0
139,9.0,77.0,48.0,0.0
140,10.0,74.0,44.0,0.0
141,7.0,76.0,50.0,0.0
142,8.0,76.0,45.0,0.0
143,9.0,77.0,28.0,0.0
144,7.0,75.0,39.0,0.0
145,7.0,76.0,28.0,0.0
146,9.0,82.0,40.0,0.0
147,10.0,78.0,59.0,709341.0
148,10.0,80.0,49.0,839476.0
149,9.0,75.0,30.0,0.0
150,10.0,78.0,47.0,956352.0
151,8.0,75.0,45.0,0.0
152,7.0,77.0,35.0,0.0
153,9.0,77.0,40.0,0.0
154,10.0,77.0,25.0,0.0
155,9.0,76.0,52.0,0.0
156,8.0,78.0,67.0,0.0
157,7.0,74.0,20.0,0.0
158,8.0,78.0,47.0,0.0
159,9.0,77.0,56.0,0.0
160,7.0,76.0,41.0,0.0
161,9.0,77.0,40.0,0.0
162,7.0,77.0,38.0,0.0
163,9.0,80.0,40.0,542106.0
164,8.0,75.0,29.0,0.0
165,8.0,74.0,49.0,0.0
166,8.0,75.0,28.0,0.0
167,9.0,72.0,29.0,0.0
168,8.0,77.0,31.0,0.0
169,8.0,76.0,33.0,0.0
170,7.0,76.0,24.0,0.0
171,7.0,79.0,54.0,0.0
172,7.0,73.0,26.0,0.0
173,9.0,78.0,46.0,0.0
174,7.0,76.0,34.0,0.0
175,8.0,73.0,50.0,0.0
176,10.0,78.0,35.0,0.0
177,9.0,78.0,48.0,0.0
178,8.0,77.0,46.0,0.0
179,7.0,72.0,46.0,0.0
180,8.0,76.0,44.0,0.0
181,10.0,76.0,26.0,0.0
182,9.0,81.0,55.0,655397.0
183,9.0,76.0,30.0,0.0
184,7.0,79.0,32.0,0.0
185,9.0,72.0,34.0,0.0
186,8.0,73.0,55.0,0.0
187,9.0,77.0,52.0,0.0
188,9.0,74.0,36.0,0.0
189,9.0,75.0,41.0,0.0
190,8.0,74.0,51.0,0.0
191,8.0,78.0,23.0,0.0
192,7.0,78.0,66.0,0.0
193,8.0,76.0,50.0,0.0
194,8.0,78.0,46.0,0.0
195,8.0,77.0,46.0,0.0
196,9.0,76.0,29.0,0.0
197,9.0,78.0,43.0,0.0
198,10.0,75.0,38.0,0.0
199,10.0,77.0,36.0,0.0
200,7.0,78.0,26.0,0.0
201,8.0,73.0,54.0,0.0
202,10.0,75.0,36.0,0.0
203,10.0,78.0,35.0,0.0
204,8.0,73.0,32.0,0.0
205,9.0,74.0,32.0,0.0
206,7.0,74.0,43.0,0.0
207,8.0,74.0,45.0,0.0
208,7.0,75.0,26.0,0.0
209,8.0,72.0,24.0,0.0
210,9.0,75.0,27.0,0.0
211,9.0,75.0,44.0,0.0
212,9.0,76.0,28.0,0.0
213,8.0,75.0,37.0,0.0
214,10.0,79.0,39.0,0.0
215,9.0,78.0,39.0,0.0
216,7.0,76.0,48.0,0.0
217,9.0,75.0,35.0,0.0
218,8.0,76.0,52.0,0.0
219,10.0,75.0,42.0,0.0
220,9.0,74.0,51.0,0.0
221,9.0,74.0,49.0,0.0
222,8.0,78.0,67.0,0.0
223,10.0,75.0,62.0,0.0
224,7.0,76.0,46.0,0.0
225,8.0,77.0,62.0,0.0
226,7.0,75.0,26.0,0.0
227,8.0,77.0,46.0,0.0
228,9.0,79.0,68.0,776259.0
229,7.0,78.0,32.0,0.0
230,9.0,83.0,35.0,0.0
231,9.0,77.0,52.0,0.0
232,7.0,78.0,33.0,0.0
233,7.0,78.0,13.0,0.0
234,10.0,76.0,35.0,0.0
235,9.0,79.0,34.0,0.0
236,9.0,76.0,34.0,0.0
237,8.0,77.0,46.0,0.0
238,10.0,75.0,44.0,0.0
239,8.0,72.0,50.0,0.0
240,10.0,79.0,41.0,0.0
241,10.0,74.0,42.0,0.0
242,8.0,74.0,35.0,0.0
243,8.0,76.0,59.0,0.0
244,8.0,77.0,33.0,0.0
245,8.0,75.0,30.0,0.0
246,8.0,79.0,39.0,0.0
247,10.0,79.0,42.0,0.0
248,8.0,75.0,52.0,0.0
249,9.0,74.0,44.0,0.0
250,9.0,77.0,32.0,0.0
251,8.0,76.0,32.0,0.0
252,10.0,76.0,26.0,0.0
253,9.0,72.0,33.0,0.0
254,8.0,77.0,43.0,0.0
255,10.0,73.0,31.0,0.0
256,9.0,74.0,40.0,0.0
257,9.0,79.0,42.0,0.0
258,9.0,76.0,20.0,0.0
259,9.0,77.0,35.0,0.0
260,7.0,76.0,43.0,0.0
261,9.0,78.0,47.0,0.0
262,8.0,77.0,32.0,0.0
263,9.0,72.0,39.0,0.0
264,10.0,74.0,49.0,0.0
265,9.0,76.0,39.0,0.0
266,7.0,77.0,38.0,0.0
267,8.0,77.0,43.0,0.0
268,9.0,79.0,50.0,0.0
269,9.0,79.0,26.0,0.0
270,9.0,76.0,52.0,0.0
271,9.0,78.0,27.0,0.0
272,10.0,77.0,33.0,0.0
273,10.0,71.0,38.0,0.0
274,9.0,74.0,35.0,0.0
275,10.0,72.0,27.0,0.0
276,8.0,72.0,29.0,0.0
277,8.0,79.0,53.0,0.0
278,9.0,73.0,51.0,0.0
279,7.0,75.0,33.0,0.0
280,7.0,74.0,42.0,0.0
281,8.0,79.0,18.0,0.0
282,8.0,75.0,34.0,0.0
283,10.0,77.0,54.0,0.0
284,9.0,78.0,31.0,0.0
285,9.0,74.0,38.0,0.0
286,9.0,77.0,42.0,0.0
287,10.0,77.0,26.0,0.0
288,8.0,75.0,22.0,0.0
289,8.0,76.0,9.0,0.0
290,9.0,74.0,52.0,0.0
291,9.0,78.0,29.0,0.0
292,9.0,75.0,59.0,0.0
293,10.0,73.0,44.0,0.0
294,9.0,80.0,59.0,499873.0
295,9.0,74.0,41.0,0.0
296,7.0,79.0,51.0,0.0
297,9.0,74.0,40.0,0.0
298,8.0,75.0,35.0,0.0
299,8.0,79.0,40.0,0.0
300,9.0,76.0,60.0,321294.0
301,7.0,78.0,59.0,0.0
302,9.0,76.0,45.0,0.0
303,9.0,78.0,46.0,0.0
304,9.0,76.0,64.0,0.0
305,7.0,75.0,38.0,0.0
306,7.0,77.0,51.0,0.0
307,10.0,79.0,52.0,681931.0
308,9.0,76.0,38.0,0.0
309,7.0,75.0,42.0,0.0
310,9.0,79.0,31.0,0.0
311,10.0,77.0,38.0,0.0
312,9.0,74.0,34.0,0.0
313,8.0,76.0,32.0,0.0
314,7.0,76.0,44.0,0.0
315,10.0,76.0,39.0,0.0
316,9.0,81.0,35.0,0.0
317,8.0,76.0,41.0,0.0
318,9.0,75.0,30.0,0.0
319,7.0,74.0,52.0,0.0
320,9.0,73.0,51.0,0.0
321,8.0,77.0,51.0,0.0
322,8.0,76.0,43.0,0.0
323,9.0,75.0,40.0,0.0
324,10.0,72.0,43.0,0.0
325,9.0,77.0,36.0,0.0
326,8.0,75.0,28.0,0.0
327,9.0,76.0,36.0,0.0
328,10.0,78.0,43.0,0.0
329,9.0,77.0,48.0,270220.0
330,10.0,78.0,54.0,649877.0
331,9.0,75.0,28.0,0.0
332,7.0,76.0,38.0,0.0
333,9.0,77.0,45.0,0.0
334,7.0,74.0,38.0,0.0
335,8.0,76.0,38.0,0.0
336,9.0,77.0,39.0,0.0
337,9.0,79.0,42.0,0.0
338,7.0,77.0,36.0,0.0
339,8.0,78.0,43.0,0.0
340,9.0,77.0,40.0,0.0
341,9.0,79.0,53.0,475042.0
342,9.0,77.0,42.0,0.0
343,9.0,80.0,40.0,0.0
344,9.0,78.0,34.0,0.0
345,9.0,76.0,29.0,0.0
346,8.0,73.0,52.0,0.0
347,8.0,75.0,32.0,0.0
348,9.0,76.0,52.0,0.0
349,9.0,72.0,43.0,0.0
350,9.0,73.0,33.0,0.0
351,9.0,77.0,29.0,0.0
352,8.0,77.0,57.0,0.0
353,10.0,75.0,50.0,0.0
354,9.0,80.0,26.0,0.0
355,10.0,75.0,27.0,0.0
356,10.0,77.0,39.0,0.0
357,9.0,76.0,34.0,0.0
358,10.0,73.0,35.0,0.0
359,9.0,74.0,45.0,0.0
360,9.0,77.0,54.0,0.0
361,9.0,76.0,23.0,0.0
362,10.0,74.0,20.0,0.0
363,8.0,79.0,53.0,0.0
364,8.0,75.0,47.0,0.0
365,9.0,77.0,44.0,0.0
366,8.0,77.0,31.0,0.0
367,9.0,79.0,54.0,0.0
368,7.0,75.0,31.0,0.0
369,10.0,77.0,38.0,0.0
370,8.0,75.0,48.0,0.0
371,8.0,77.0,65.0,0.0
372,9.0,80.0,63.0,711138.0
373,10.0,78.0,40.0,540539.0
374,8.0,74.0,17.0,0.0
375,10.0,72.0,74.0,461916.0
376,9.0,80.0,45.0,0.0
377,9.0,78.0,48.0,0.0
378,8.0,76.0,40.0,0.0
379,7.0,79.0,37.0,0.0
380,10.0,78.0,45.0,0.0
381,8.0,77.0,35.0,0.0
382,9.0,75.0,26.0,0.0
383,9.0,77.0,50.0,0.0
384,9.0,75.0,50.0,0.0
385,9.0,78.0,42.0,0.0
386,9.0,76.0,40.0,0.0
387,7.0,77.0,35.0,0.0
388,7.0,76.0,39.0,0.0
389,8.0,74.0,27.0,0.0
390,8.0,74.0,49.0,0.0
391,7.0,79.0,40.0,0.0
392,9.0,73.0,48.0,0.0
393,8.0,76.0,44.0,0.0
394,8.0,77.0,33.0,0.0
395,9.0,76.0,32.0,0.0
396,7.0,77.0,35.0,0.0
397,9.0,80.0,31.0,0.0
398,9.0,74.0,40.0,0.0
399,8.0,76.0,43.0,0.0
400,8.0,76.0,32.0,0.0
401,9.0,79.0,38.0,0.0
402,8.0,76.0,57.0,0.0
403,7.0,75.0,41.0,0.0
404,9.0,76.0,43.0,0.0
405,10.0,76.0,47.0,0.0
406,9.0,74.0,42.0,0.0
407,10.0,76.0,41.0,0.0
408,8.0,81.0,41.0,0.0
409,9.0,72.0,21.0,0.0
410,9.0,73.0,58.0,0.0
411,9.0,77.0,39.0,0.0
412,9.0,75.0,45.0,0.0
413,9.0,75.0,50.0,558036.0
414,9.0,78.0,41.0,0.0
415,9.0,75.0,36.0,0.0
416,9.0,73.0,38.0,0.0
417,8.0,77.0,49.0,356169.0
418,9.0,75.0,35.0,0.0
419,9.0,77.0,42.0,0.0
420,10.0,72.0,43.0,0.0
421,10.0,73.0,45.0,0.0
422,9.0,74.0,47.0,0.0
423,7.0,79.0,39.0,0.0
424,8.0,75.0,42.0,0.0
425,8.0,74.0,41.0,0.0
426,10.0,75.0,28.0,0.0
427,8.0,74.0,19.0,0.0
428,9.0,78.0,45.0,0.0
429,7.0,73.0,35.0,0.0
430,8.0,74.0,27.0,0.0
431,8.0,75.0,48.0,0.0
432,8.0,77.0,33.0,0.0
433,8.0,74.0,44.0,0.0
434,10.0,74.0,50.0,486178.0
435,9.0,74.0,24.0,0.0
436,9.0,77.0,37.0,0.0
437,10.0,77.0,56.0,474756.0
438,7.0,71.0,55.0,0.0
439,9.0,77.0,52.0,0.0
440,9.0,75.0,31.0,0.0
441,10.0,74.0,39.0,0.0
442,10.0,78.0,26.0,0.0
443,9.0,77.0,34.0,0.0
444,9.0,77.0,28.0,0.0
445,8.0,72.0,31.0,0.0
446,9.0,77.0,54.0,0.0
447,9.0,74.0,22.0,0.0
448,7.0,75.0,36.0,0.0
449,9.0,71.0,51.0,0.0
450,10.0,77.0,51.0,825306.0
451,9.0,76.0,50.0,0.0
452,7.0,74.0,46.0,0.0
453,10.0,77.0,34.0,0.0
454,8.0,76.0,21.0,0.0
455,9.0,77.0,36.0,0.0
456,8.0,77.0,29.0,0.0
457,9.0,74.0,45.0,0.0
458,8.0,75.0,29.0,0.0
459,7.0,74.0,33.0,0.0
460,9.0,75.0,45.0,0.0
461,10.0,78.0,29.0,0.0
462,10.0,75.0,50.0,0.0
463,9.0,74.0,36.0,0.0
464,10.0,77.0,30.0,0.0
465,8.0,82.0,25.0,0.0
466,8.0,78.0,36.0,0.0
467,10.0,77.0,42.0,0.0
468,10.0,74.0,45.0,0.0
469,9.0,77.0,52.0,0.0
470,7.0,79.0,37.0,0.0
471,9.0,76.0,30.0,0.0
472,8.0,78.0,39.0,0.0
473,7.0,76.0,38.0,0.0
474,7.0,76.0,40.0,0.0
475,9.0,75.0,62.0,0.0
476,9.0,76.0,51.0,0.0
477,9.0,76.0,42.0,0.0
478,7.0,78.0,38.0,0.0
479,8.0,71.0,61.0,0.0
480,8.0,76.0,36.0,0.0
481,10.0,75.0,42.0,0.0
482,10.0,78.0,49.0,0.0
483,8.0,76.0,40.0,0.0
484,8.0,75.0,39.0,0.0
485,8.0,76.0,66.0,0.0
486,9.0,74.0,37.0,0.0
487,9.0,75.0,16.0,0.0
488,7.0,76.0,34.0,0.0
489,9.0,78.0,43.0,0.0
490,10.0,78.0,48.0,0.0
491,7.0,81.0,32.0,0.0
492,9.0,80.0,24.0,0.0
493,8.0,76.0,32.0,0.0
494,8.0,74.0,26.0,0.0
495,10.0,74.0,43.0,0.0
496,9.0,75.0,42.0,0.0
497,8.0,75.0,48.0,0.0
498,9.0,75.0,39.0,0.0
499,10.0,73.0,40.0,0.0
500,7.0,74.0,41.0,0.0
501,8.0,73.0,49.0,0.0
502,10.0,72.0,37.0,0.0
503,10.0,78.0,28.0,0.0
504,9.0,75.0,45.0,0.0
505,9.0,77.0,37.0,0.0
506,9.0,76.0,26.0,0.0
507,9.0,75.0,23.0,0.0
508,10.0,75.0,38.0,0.0
509,9.0,75.0,28.0,0.0
510,8.0,72.0,50.0,0.0
511,10.0,77.0,45.0,0.0
512,8.0,77.0,29.0,0.0
513,10.0,73.0,28.0,0.0
514,8.0,75.0,49.0,0.0
515,10.0,77.0,23.0,0.0
516,9.0,78.0,43.0,0.0
517,9.0,76.0,48.0,0.0
518,9.0,76.0,56.0,0.0
519,8.0,75.0,35.0,0.0
520,8.0,75.0,33.0,0.0
521,10.0,79.0,51.0,808246.0
522,7.0,77.0,38.0,0.0
523,10.0,74.0,44.0,0.0
524,9.0,77.0,52.0,0.0
525,9.0,74.0,40.0,0.0
526,10.0,79.0,42.0,0.0
527,8.0,78.0,30.0,0.0
528,9.0,78.0,39.0,0.0
529,9.0,74.0,27.0,0.0
530,8.0,78.0,44.0,0.0
531,9.0,78.0,39.0,0.0
532,10.0,76.0,34.0,0.0
533,9.0,76.0,41.0,0.0
534,8.0,77.0,40.0,0.0
535,9.0,77.0,38.0,0.0
536,8.0,77.0,36.0,0.0
537,8.0,77.0,51.0,0.0
538,8.0,76.0,39.0,0.0
539,10.0,78.0,45.0,899692.0
540,8.0,75.0,50.0,0.0
541,7.0,80.0,35.0,0.0
542,10.0,78.0,23.0,0.0
543,7.0,78.0,23.0,0.0
544,8.0,74.0,47.0,0.0
545,9.0,76.0,60.0,0.0
546,10.0,82.0,32.0,765623.0
547,9.0,74.0,27.0,0.0
548,10.0,76.0,44.0,780128.0
549,7.0,77.0,48.0,0.0
550,7.0,76.0,46.0,0.0
551,8.0,78.0,33.0,0.0
552,9.0,75.0,35.0,0.0
553,10.0,76.0,19.0,0.0
554,8.0,75.0,44.0,0.0
555,9.0,78.0,53.0,477336.0
556,7.0,71.0,49.0,0.0
557,7.0,75.0,49.0,0.0
558,9.0,73.0,24.0,0.0
559,7.0,77.0,23.0,0.0
560,9.0,78.0,31.0,0.0
561,8.0,77.0,45.0,0.0
562,9.0,76.0,35.0,0.0
563,8.0,75.0,32.0,0.0
564,10.0,78.0,47.0,984742.0
565,7.0,77.0,17.0,0.0
566,8.0,76.0,28.0,0.0
567,8.0,77.0,26.0,0.0
568,8.0,77.0,19.0,0.0
569,7.0,76.0,39.0,0.0
570,8.0,77.0,30.0,0.0
571,7.0,76.0,35.0,0.0
572,8.0,76.0,49.0,0.0
573,9.0,75.0,54.0,0.0
574,7.0,78.0,33.0,0.0
575,8.0,78.0,47.0,0.0
576,8.0,80.0,35.0,0.0
577,9.0,77.0,41.0,0.0
578,8.0,73.0,28.0,0.0
579,9.0,75.0,43.0,0.0
580,9.0,75.0,45.0,0.0
581,9.0,77.0,38.0,0.0
582,9.0,79.0,38.0,0.0
583,8.0,81.0,47.0,0.0
584,9.0,75.0,49.0,0.0
585,9.0,75.0,25.0,0.0
586,10.0,75.0,55.0,532254.0
587,9.0,76.0,34.0,0.0
588,8.0,72.0,36.0,0.0
589,9.0,77.0,38.0,0.0
590,9.0,73.0,57.0,0.0
591,9.0,75.0,26.0,0.0
592,10.0,73.0,27.0,0.0
593,8.0,77.0,35.0,0.0
594,8.0,75.0,38.0,0.0
595,8.0,76.0,20.0,0.0
596,9.0,78.0,35.0,0.0
597,9.0,77.0,40.0,0.0
598,9.0,72.0,36.0,0.0
599,8.0,77.0,39.0,0.0
600,10.0,75.0,33.0,0.0
601,10.0,81.0,53.0,649470.0
602,9.0,73.0,56.0,0.0
603,9.0,76.0,36.0,0.0
604,9.0,79.0,52.0,0.0
605,9.0,75.0,27.0,0.0
606,9.0,78.0,42.0,0.0
607,9.0,74.0,37.0,0.0
608,8.0,75.0,44.0,0.0
609,9.0,74.0,47.0,0.0
610,9.0,72.0,50.0,0.0
611,9.0,77.0,50.0,0.0
612,8.0,78.0,40.0,0.0
613,10.0,81.0,34.0,964479.0
614,9.0,73.0,42.0,0.0
615,8.0,80.0,32.0,0.0
616,7.0,75.0,47.0,0.0
617,9.0,75.0,45.0,0.0
618,8.0,76.0,30.0,0.0
619,7.0,74.0,57.0,0.0
620,9.0,77.0,24.0,0.0
621,9.0,75.0,44.0,0.0
622,10.0,74.0,40.0,0.0
623,8.0,74.0,10.0,0.0
624,8.0,76.0,48.0,0.0
625,10.0,76.0,35.0,0.0
626,7.0,74.0,54.0,0.0
627,10.0,74.0,37.0,0.0
628,8.0,75.0,55.0,0.0
629,9.0,75.0,42.0,0.0
630,10.0,71.0,50.0,0.0
631,9.0,78.0,36.0,0.0
632,8.0,76.0,47.0,0.0
633,9.0,75.0,33.0,0.0
634,7.0,73.0,55.0,0.0
635,7.0,78.0,30.0,0.0
636,8.0,78.0,51.0,0.0
637,8.0,77.0,36.0,0.0
638,7.0,73.0,41.0,0.0
639,7.0,77.0,16.0,0.0
640,10.0,77.0,28.0,0.0
641,9.0,76.0,29.0,0.0
642,7.0,76.0,39.0,0.0
643,9.0,74.0,40.0,0.0
644,8.0,74.0,37.0,0.0
645,8.0,75.0,37.0,0.0
646,8.0,73.0,30.0,0.0
647,8.0,77.0,37.0,0.0
648,9.0,75.0,30.0,0.0
649,9.0,74.0,40.0,0.0
650,9.0,76.0,59.0,500962.0
651,10.0,77.0,26.0,0.0
652,8.0,75.0,38.0,0.0
653,8.0,74.0,33.0,0.0
654,9.0,79.0,20.0,0.0
655,8.0,75.0,53.0,0.0
656,8.0,76.0,34.0,0.0
657,10.0,75.0,53.0,974559.0
658,10.0,81.0,42.0,0.0
659,8.0,74.0,47.0,0.0
660,9.0,77.0,32.0,0.0
661,10.0,74.0,39.0,0.0
662,9.0,76.0,40.0,0.0
663,9.0,76.0,47.0,0.0
664,9.0,76.0,23.0,0.0
665,7.0,73.0,41.0,0.0
666,8.0,77.0,32.0,0.0
667,10.0,76.0,56.0,683019.0
668,8.0,77.0,40.0,0.0
669,9.0,76.0,29.0,0.0
670,8.0,74.0,47.0,0.0
671,8.0,78.0,47.0,0.0
672,8.0,74.0,24.0,0.0
673,10.0,75.0,43.0,0.0
674,9.0,77.0,29.0,0.0
675,10.0,76.0,48.0,706532.0
676,10.0,77.0,39.0,0.0
677,7.0,78.0,31.0,0.0
678,9.0,74.0,40.0,0.0
679,8.0,74.0,34.0,0.0
680,8.0,75.0,21.0,0.0
681,9.0,75.0,13.0,0.0
682,9.0,77.0,66.0,631998.0
683,9.0,76.0,44.0,0.0
684,9.0,78.0,42.0,0.0
685,7.0,80.0,49.0,0.0
686,9.0,81.0,47.0,0.0
687,9.0,71.0,31.0,0.0
688,10.0,75.0,27.0,0.0
689,8.0,72.0,37.0,0.0
690,8.0,76.0,29.0,0.0
691,10.0,76.0,27.0,0.0
692,9.0,74.0,39.0,0.0
693,8.0,75.0,40.0,0.0
694,8.0,75.0,28.0,0.0
695,9.0,75.0,29.0,0.0
696,9.0,74.0,40.0,0.0
697,10.0,75.0,17.0,0.0
698,8.0,75.0,46.0,0.0
699,8.0,78.0,47.0,0.0
700,9.0,79.0,42.0,0.0
701,8.0,77.0,37.0,0.0
702,8.0,74.0,49.0,0.0
703,9.0,75.0,50.0,0.0
704,9.0,75.0,46.0,0.0
705,8.0,75.0,22.0,0.0
706,7.0,75.0,51.0,0.0
707,9.0,78.0,45.0,0.0
708,10.0,72.0,27.0,0.0
709,9.0,76.0,63.0,0.0
710,9.0,79.0,42.0,0.0
711,8.0,74.0,49.0,0.0
712,7.0,77.0,51.0,0.0
713,9.0,75.0,46.0,370740.0
714,9.0,73.0,44.0,0.0
715,9.0,74.0,29.0,0.0
716,8.0,75.0,43.0,0.0
717,8.0,77.0,36.0,0.0
718,7.0,76.0,40.0,0.0
719,7.0,76.0,44.0,0.0
720,9.0,76.0,50.0,0.0
721,10.0,78.0,42.0,0.0
722,8.0,74.0,36.0,0.0
723,9.0,78.0,41.0,0.0
724,8.0,76.0,48.0,0.0
725,10.0,79.0,42.0,0.0
726,9.0,77.0,43.0,503436.0
727,8.0,75.0,44.0,0.0
728,7.0,72.0,49.0,0.0
729,7.0,75.0,34.0,0.0
730,8.0,76.0,46.0,0.0
731,8.0,77.0,33.0,0.0
732,8.0,77.0,45.0,0.0
733,9.0,78.0,34.0,0.0
734,9.0,75.0,31.0,0.0
735,9.0,71.0,38.0,0.0
736,10.0,81.0,44.0,785779.0
737,8.0,75.0,26.0,0.0
738,8.0,76.0,34.0,0.0
739,9.0,77.0,35.0,0.0
740,9.0,74.0,44.0,0.0
741,9.0,74.0,62.0,0.0
742,9.0,74.0,48.0,0.0
743,10.0,78.0,62.0,1079018.0
744,9.0,79.0,43.0,0.0
745,10.0,76.0,31.0,0.0
746,7.0,78.0,36.0,0.0
747,9.0,79.0,57.0,0.0
748,8.0,78.0,57.0,0.0
749,9.0,77.0,43.0,0.0
750,8.0,78.0,37.0,0.0
751,8.0,73.0,37.0,0.0
752,8.0,75.0,34.0,0.0
753,9.0,75.0,49.0,0.0
754,10.0,76.0,41.0,0.0
755,7.0,76.0,35.0,0.0
756,10.0,77.0,30.0,0.0
757,8.0,74.0,49.0,0.0
758,8.0,73.0,46.0,0.0
759,10.0,73.0,35.0,0.0
760,8.0,72.0,58.0,0.0
761,9.0,75.0,38.0,0.0
762,10.0,80.0,45.0,1184332.0
763,9.0,78.0,34.0,0.0
764,10.0,72.0,34.0,0.0
765,8.0,77.0,44.0,0.0
766,9.0,78.0,44.0,0.0
767,10.0,74.0,33.0,0.0
768,7.0,77.0,31.0,0.0
769,8.0,78.0,41.0,0.0
770,10.0,76.0,32.0,0.0
771,8.0,77.0,44.0,0.0
772,9.0,74.0,34.0,0.0
